accuracy,precision,recall,specificity,f1,tn,fp,fn,tp,threshold,cost
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.5,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.51,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.52,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.53,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.54,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.55,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.56,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.5700000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.5800000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.59,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.6,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.61,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.62,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.63,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.64,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.65,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.66,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.67,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.68,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.6900000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.7000000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.7100000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.72,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.73,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.74,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.75,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.76,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.77,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.78,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.79,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.8,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.81,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.8200000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.8300000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.8400000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.85,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.86,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.87,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.88,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.89,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.9,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.91,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.92,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.93,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.9400000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.9500000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.9600000000000001,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.97,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.98,325.0
0.9729166666666667,0.0,0.0,1.0,0.0,467.0,0.0,13.0,0.0,0.99,325.0
